,id,season,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,venue
457,458,2014,Abu Dhabi,7,8,7,0,normal,0,7,41,0,35
458,459,2014,Sharjah,3,13,13,1,normal,0,13,0,8,34
459,460,2014,Abu Dhabi,0,5,0,0,normal,0,5,0,6,35
460,461,2014,Abu Dhabi,14,10,10,1,normal,0,10,0,4,35
461,462,2014,,8,13,13,1,normal,0,13,0,7,7
462,463,2014,,7,3,7,0,normal,0,3,0,4,7
463,464,2014,Sharjah,10,5,5,1,normal,0,5,0,7,34
464,465,2014,Abu Dhabi,0,3,0,0,normal,0,0,93,0,35
465,466,2014,Sharjah,5,14,14,1,normal,0,5,72,0,34
466,467,2014,,0,10,10,1,normal,0,0,7,0,7
467,468,2014,Sharjah,7,13,13,1,normal,0,7,2,0,34
468,469,2014,,14,3,14,0,normal,0,14,4,0,7
469,470,2014,,8,0,8,0,normal,0,0,0,7,7
470,471,2014,Abu Dhabi,13,10,10,1,normal,0,10,0,6,35
471,472,2014,Abu Dhabi,5,7,7,1,normal,0,5,23,0,35
472,473,2014,Sharjah,8,3,8,0,normal,0,3,0,6,34
473,474,2014,Sharjah,14,0,14,0,normal,0,0,0,5,34
474,475,2014,,13,5,5,1,normal,0,5,0,5,7
475,476,2014,Abu Dhabi,10,7,10,0,tie,0,10,0,0,35
476,477,2014,,14,8,8,1,normal,0,14,15,0,7
477,478,2014,Ranchi,0,7,0,0,normal,0,0,34,0,15
478,479,2014,Mumbai,5,8,5,0,normal,0,8,0,5,40
479,480,2014,Delhi,3,10,10,1,normal,0,10,0,7,9
480,481,2014,Bangalore,14,13,13,1,normal,0,13,0,4,17
481,482,2014,Ahmedabad,10,7,7,1,normal,0,10,10,0,30
482,483,2014,Delhi,3,0,0,1,normal,0,0,0,8,9
483,484,2014,Mumbai,8,13,13,1,normal,0,8,19,0,40
484,485,2014,Delhi,3,7,3,0,normal,0,7,0,8,9
485,486,2014,Cuttack,5,0,0,1,normal,0,5,44,0,1
486,487,2014,Ahmedabad,14,10,10,1,normal,0,14,32,0,30
487,488,2014,Bangalore,5,13,13,1,normal,0,5,32,0,17
488,489,2014,Delhi,3,14,14,1,normal,1,14,0,8,9
489,490,2014,Mumbai,8,0,0,1,normal,0,0,0,4,40
490,491,2014,Cuttack,5,7,7,1,normal,0,7,0,9,1
491,492,2014,Bangalore,13,10,13,0,normal,0,10,0,5,17
492,493,2014,Hyderabad,14,8,14,0,normal,0,8,0,7,28
493,494,2014,Ranchi,10,0,10,0,normal,0,0,0,5,15
494,495,2014,Bangalore,13,3,3,1,normal,0,13,16,0,17
495,496,2014,Hyderabad,14,5,5,1,normal,0,5,0,6,28
496,497,2014,Cuttack,8,7,7,1,normal,0,7,0,6,1
497,498,2014,Ahmedabad,10,3,3,1,normal,0,10,62,0,30
498,499,2014,Ranchi,0,13,0,0,normal,0,13,0,5,15
499,500,2014,Hyderabad,14,7,14,0,normal,0,7,0,7,28
500,501,2014,Ahmedabad,8,10,8,0,normal,0,8,25,0,30
501,502,2014,Delhi,3,5,5,1,normal,0,5,0,4,9
502,503,2014,Hyderabad,13,14,13,0,normal,0,14,0,7,28
503,504,2014,Kolkata,0,7,7,1,normal,0,7,0,8,8
504,505,2014,Chandigarh,5,8,8,1,normal,0,8,0,7,27
505,506,2014,Kolkata,7,13,13,1,normal,0,7,30,0,8
506,507,2014,Ranchi,0,14,14,1,normal,0,14,0,6,15
507,508,2014,Mumbai,8,3,3,1,normal,0,8,15,0,40
508,509,2014,Chandigarh,5,10,10,1,normal,0,5,16,0,27
509,510,2014,Bangalore,13,0,0,1,normal,0,0,0,8,17
510,511,2014,Kolkata,14,7,7,1,normal,0,7,0,4,8
511,512,2014,Chandigarh,3,5,5,1,normal,0,5,0,7,27
512,513,2014,Mumbai,10,8,8,1,normal,0,8,0,5,40
513,514,2014,Kolkata,7,5,5,1,normal,0,7,28,0,8
514,515,2014,Mumbai,8,0,0,1,normal,0,0,0,7,2
515,516,2014,Mumbai,5,0,0,1,normal,0,5,24,0,40
516,517,2014,Bangalore,5,7,7,1,normal,0,7,0,3,17
517,518,2015,Kolkata,8,7,7,1,normal,0,7,0,7,8
518,519,2015,Chennai,0,3,3,1,normal,0,0,1,0,20
519,520,2015,Pune,10,5,5,1,normal,0,10,26,0,21
520,521,2015,Chennai,0,14,0,0,normal,0,0,45,0,20
521,522,2015,Kolkata,7,13,13,1,normal,0,13,0,3,8
522,523,2015,Delhi,3,10,10,1,normal,0,10,0,3,9
523,524,2015,Mumbai,5,8,8,1,normal,0,5,18,0,40
524,525,2015,Bangalore,13,14,14,1,normal,0,14,0,8,17
